CASE001,0035,0.000,97.120,267.524,457.017,1,0.0304
CASE001,0035,0.000,97.120,267.524,457.017,2,0.0260
CASE001,0035,0.000,97.120,267.524,457.017,3,0.0024
CASE001,0035,0.000,97.120,267.524,457.017,4,0.0543
CASE001,0035,0.000,97.120,267.524,457.017,5,0.0137
CASE001,0035,0.000,97.120,267.524,457.017,6,0.3658
CASE001,0035,0.000,97.120,267.524,457.017,7,0.0295
CASE001,0035,0.000,97.120,267.524,457.017,8,0.0108
CASE001,0035,0.000,97.120,267.524,457.017,9,0.3069
CASE001,0035,0.000,97.120,267.524,457.017,10,0.1854
CASE001,0035,0.000,97.120,267.524,457.017,11,0.0439
CASE001,0035,0.000,97.120,267.524,457.017,12,0.0029
CASE001,0035,0.000,97.120,267.524,457.017,13,0.1583
CASE001,0035,0.000,97.120,267.524,457.017,14,0.0284
CASE001,0035,0.000,97.120,267.524,457.017,15,0.3566
CASE001,0035,0.000,97.120,267.524,457.017,16,0.0018
CASE001,0035,549.453,191.435,1280.000,615.086,1,0.0304
CASE001,0035,549.453,191.435,1280.000,615.086,2,0.0260
CASE001,0035,549.453,191.435,1280.000,615.086,3,0.0024
CASE001,0035,549.453,191.435,1280.000,615.086,4,0.0543
CASE001,0035,549.453,191.435,1280.000,615.086,5,0.0137
CASE001,0035,549.453,191.435,1280.000,615.086,6,0.3658
CASE001,0035,549.453,191.435,1280.000,615.086,7,0.0295
CASE001,0035,549.453,191.435,1280.000,615.086,8,0.0108
CASE001,0035,549.453,191.435,1280.000,615.086,9,0.3069
CASE001,0035,549.453,191.435,1280.000,615.086,10,0.1854
CASE001,0035,549.453,191.435,1280.000,615.086,11,0.0439
CASE001,0035,549.453,191.435,1280.000,615.086,12,0.0029
CASE001,0035,549.453,191.435,1280.000,615.086,13,0.1583
CASE001,0035,549.453,191.435,1280.000,615.086,14,0.0284
CASE001,0035,549.453,191.435,1280.000,615.086,15,0.3566
CASE001,0035,549.453,191.435,1280.000,615.086,16,0.0018
